state,state_population,us_avg_population,PercentDiffFromUSAvg,Population_Rank
california,39538223,6437215,514.21,1
texas,29145505,6437215,352.77,2
florida,21538187,6437215,234.59,3
new_york,20201249,6437215,213.82,4
pennsylvania,13002700,6437215,101.99,5
illinois,12812508,6437215,99.04,6
ohio,11799448,6437215,83.3,7
georgia,10711908,6437215,66.41,8
north_carolina,10439388,6437215,62.17,9
michigan,10077331,6437215,56.55,10
new_jersey,9288994,6437215,44.3,11
virginia,8631393,6437215,34.09,12
washington,7705281,6437215,19.7,13
arizona,7151502,6437215,11.1,14
massachusetts,7029917,6437215,9.21,15
tennessee,6910840,6437215,7.36,16
indiana,6785528,6437215,5.41,17
maryland,6177224,6437215,-4.04,18
missouri,6154913,6437215,-4.39,19
wisconsin,5893718,6437215,-8.44,20
colorado,5773714,6437215,-10.31,21
minnesota,5706494,6437215,-11.35,22
south_carolina,5118425,6437215,-20.49,23
alabama,5024279,6437215,-21.95,24
louisiana,4657757,6437215,-27.64,25
kentucky,4505836,6437215,-30.0,26
oregon,4237256,6437215,-34.18,27
oklahoma,3959353,6437215,-38.49,28
connecticut,3605944,6437215,-43.98,29
puerto_rico,3285874,6437215,-48.96,30
utah,3271616,6437215,-49.18,31
iowa,3190369,6437215,-50.44,32
nevada,3104614,6437215,-51.77,33
arkansas,3011524,6437215,-53.22,34
mississippi,2961279,6437215,-54.0,35
kansas,2937880,6437215,-54.36,36
new_mexico,2117522,6437215,-67.1,37
nebraska,1961504,6437215,-69.53,38
idaho,1839106,6437215,-71.43,39
west_virginia,1793716,6437215,-72.14,40
hawaii,1455271,6437215,-77.39,41
new_hampshire,1377529,6437215,-78.6,42
maine,1362359,6437215,-78.84,43
rhode_island,1097379,6437215,-82.95,44
montana,1084225,6437215,-83.16,45
delaware,989948,6437215,-84.62,46
south_dakota,886667,6437215,-86.23,47
north_dakota,779094,6437215,-87.9,48
alaska,733391,6437215,-88.61,49
district_of_columbia,689545,6437215,-89.29,50
vermont,643077,6437215,-90.01,51
wyoming,576851,6437215,-91.04,52
